original_title,budget,revenue,genres,release_year,release_month,runtime,vote_average,vote_count,popularity,top_cast,director,roi
Avatar,237000000,2787965087,"Action, Adventure, Fantasy, Science Fiction",2009,12,162.0,7.2,11800,150.437577,"Sam Worthington, Zoe Saldana, Sigourney Weaver",James Cameron,10.763565767932489
Pirates of the Caribbean: At World's End,300000000,961000000,"Adventure, Fantasy, Action",2007,5,169.0,6.9,4500,139.082615,"Johnny Depp, Orlando Bloom, Keira Knightley",Gore Verbinski,2.203333333333333
Spectre,245000000,880674609,"Action, Adventure, Crime",2015,10,148.0,6.3,4466,107.37678799999999,"Daniel Craig, Christoph Waltz, Léa Seydoux",Sam Mendes,2.5945902408163266
The Dark Knight Rises,250000000,1084939099,"Action, Crime, Drama, Thriller",2012,7,165.0,7.6,9106,112.31295,"Christian Bale, Michael Caine, Gary Oldman",Christopher Nolan,3.339756396
John Carter,260000000,284139100,"Action, Adventure, Science Fiction",2012,3,132.0,6.1,2124,43.926995,"Taylor Kitsch, Lynn Collins, Samantha Morton",Andrew Stanton,0.0928426923076923
Spider-Man 3,258000000,890871626,"Fantasy, Action, Adventure",2007,5,139.0,5.9,3576,115.69981399999999,"Tobey Maguire, Kirsten Dunst, James Franco",Sam Raimi,2.4529907984496124
Tangled,260000000,591794936,"Animation, Family",2010,11,100.0,7.4,3330,48.681969,"Zachary Levi, Mandy Moore, Donna Murphy",Byron Howard,1.2761343692307692
Avengers: Age of Ultron,280000000,1405403694,"Action, Adventure, Science Fiction",2015,4,141.0,7.3,6767,134.27922900000002,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",Joss Whedon,4.019298907142857
Harry Potter and the Half-Blood Prince,250000000,933959197,"Adventure, Fantasy, Family",2009,7,153.0,7.4,5293,98.885637,"Daniel Radcliffe, Rupert Grint, Emma Watson",David Yates,2.735836788
Batman v Superman: Dawn of Justice,250000000,873260194,"Action, Adventure, Fantasy",2016,3,151.0,5.7,7004,155.790452,"Ben Affleck, Henry Cavill, Gal Gadot",Zack Snyder,2.493040776
Superman Returns,270000000,391081192,"Adventure, Fantasy, Action, Science Fiction",2006,6,154.0,5.4,1400,57.925623,"Brandon Routh, Kevin Spacey, Kate Bosworth",Bryan Singer,0.44844885925925926
Quantum of Solace,200000000,586090727,"Adventure, Action, Thriller, Crime",2008,10,106.0,6.1,2965,107.92881100000001,"Daniel Craig, Olga Kurylenko, Mathieu Amalric",Marc Forster,1.930453635
Pirates of the Caribbean: Dead Man's Chest,200000000,1065659812,"Adventure, Fantasy, Action",2006,6,151.0,7.0,5246,145.84737900000002,"Johnny Depp, Orlando Bloom, Keira Knightley",Gore Verbinski,4.32829906
The Lone Ranger,255000000,89289910,"Action, Adventure, Western",2013,7,149.0,5.9,2311,49.046956,"Johnny Depp, Armie Hammer, William Fichtner",Gore Verbinski,-0.6498434901960785
Man of Steel,225000000,662845518,"Action, Adventure, Fantasy, Science Fiction",2013,6,143.0,6.5,6359,99.398009,"Henry Cavill, Amy Adams, Michael Shannon",Zack Snyder,1.94598008
The Chronicles of Narnia: Prince Caspian,225000000,419651413,"Adventure, Family, Fantasy",2008,5,150.0,6.3,1630,53.978602,"Ben Barnes, William Moseley, Anna Popplewell",Andrew Adamson,0.8651173911111111
The Avengers,220000000,1519557910,"Science Fiction, Action, Adventure",2012,4,143.0,7.4,11776,144.448633,"Robert Downey Jr., Chris Evans, Mark Ruffalo",Joss Whedon,5.907081409090909
Pirates of the Caribbean: On Stranger Tides,380000000,1045713802,"Adventure, Action, Fantasy",2011,5,136.0,6.4,4948,135.413856,"Johnny Depp, Penélope Cruz, Ian McShane",Rob Marshall,1.7518784263157894
Men in Black 3,225000000,624026776,"Action, Comedy, Science Fiction",2012,5,106.0,6.2,4160,52.035179,"Will Smith, Tommy Lee Jones, Josh Brolin",Barry Sonnenfeld,1.7734523377777778
The Hobbit: The Battle of the Five Armies,250000000,956019788,"Action, Adventure, Fantasy",2014,12,144.0,7.1,4760,120.96574299999999,"Martin Freeman, Ian McKellen, Richard Armitage",Peter Jackson,2.824079152
The Amazing Spider-Man,215000000,752215857,"Action, Adventure, Fantasy",2012,6,136.0,6.5,6586,89.866276,"Andrew Garfield, Emma Stone, Rhys Ifans",Marc Webb,2.4986784046511628
Robin Hood,200000000,310669540,"Action, Adventure",2010,5,140.0,6.2,1398,37.668301,"Russell Crowe, Cate Blanchett, Max von Sydow",Ridley Scott,0.5533477
The Hobbit: The Desolation of Smaug,250000000,958400000,"Adventure, Fantasy",2013,12,161.0,7.6,4524,94.370564,"Martin Freeman, Ian McKellen, Richard Armitage",Peter Jackson,2.8336
The Golden Compass,180000000,372234864,"Adventure, Fantasy",2007,12,113.0,5.8,1303,42.990906,"Dakota Blue Richards, Nicole Kidman, Daniel Craig",Chris Weitz,1.0679714666666666
King Kong,207000000,550000000,"Adventure, Drama, Action",2005,12,187.0,6.6,2337,61.226009999999995,"Naomi Watts, Jack Black, Adrien Brody",Peter Jackson,1.6570048309178744
Titanic,200000000,1845034188,"Drama, Romance, Thriller",1997,11,194.0,7.5,7562,100.025899,"Kate Winslet, Leonardo DiCaprio, Frances Fisher",James Cameron,8.22517094
